typing_speed,error_rate,pause_frequency,key_press_duration,movement_speed,click_frequency,eye_blink_rate,eye_closure_duration,speech_rate,pitch_variation,volume,clarity,hour_of_day,day_of_week,fatigue_score,data_source
49.97,2.17,3.36,95.13,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.18649666666666667,keyboard
43.62,4.16,3.56,103.19,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.3034442857142858,keyboard
51.48,4.31,4.08,142.42,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.34990476190476183,keyboard
60.23,3.4,4.05,138.31,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.31489761904761904,keyboard
42.66,4.68,1.62,119.37,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.29634238095238097,keyboard
42.66,5.81,2.06,123.52,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.3497304761904762,keyboard
60.79,8.77,3.52,158.33,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.4942214285714286,keyboard
52.67,5.35,3.51,102.25,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.29786904761904764,keyboard
40.31,5.52,3.52,136.41,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.4183280952380952,keyboard
50.43,4.85,6.85,113.93,100.0,5.0,20.0,0.2,120,0.8,0.9,0.85,12,1,0.3977642857142857,keyboard
45.0,5.0,3.0,120.0,129.17141505651293,0.7377680719983593,20.0,0.2,120,0.8,0.9,0.85,12,1,0.35,mouse
45.0,5.0,3.0,120.0,115.86950367127713,3.969018996544552,20.0,0.2,120,0.8,0.9,0.85,12,1,0.36,mouse
45.0,5.0,3.0,120.0,86.68669146998621,9.938846692267862,20.0,0.2,120,0.8,0.9,0.85,12,1,0.36,mouse
45.0,5.0,3.0,120.0,136.46262317325298,10.591773326070806,20.0,0.2,120,0.8,0.9,0.85,12,1,0.365,mouse
45.0,5.0,3.0,120.0,124.12060025077807,6.208344619343898,20.0,0.2,120,0.8,0.9,0.85,12,1,0.365,mouse
45.0,5.0,3.0,120.0,146.6807637618805,7.831870966021925,20.0,0.2,120,0.8,0.9,0.85,12,1,0.37,mouse
45.0,5.0,3.0,120.0,101.23961451467193,6.521256892708463,20.0,0.2,120,0.8,0.9,0.85,12,1,0.37,mouse
45.0,5.0,3.0,120.0,124.88831886505412,9.158845568810552,20.0,0.2,120,0.8,0.9,0.85,12,1,0.425,mouse
45.0,5.0,3.0,120.0,112.61041597983132,7.644354914023021,20.0,0.2,120,0.8,0.9,0.85,12,1,0.435,mouse
45.0,5.0,3.0,120.0,104.98142616011832,7.5505654466755665,20.0,0.2,120,0.8,0.9,0.85,12,1,0.55,mouse
45.0,5.0,3.0,120.0,100.0,5.0,17.997597225726842,0.08650385847093156,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,14.271535687888186,0.12109471029031615,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,18.387778466258148,0.16492303367226754,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,9.75809208559997,0.17812182228388962,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,16.29018753306676,0.11290912352596272,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,7.9162412707585075,0.1531141879132882,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,16.4330787557442,0.15571942556150276,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,13.159645708212008,0.14433813605553208,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,14.084065662403402,0.2078762822393157,120,0.8,0.9,0.85,12,1,0.2,facial
45.0,5.0,3.0,120.0,100.0,5.0,9.559172211167825,0.14043833326882132,120,0.8,0.9,0.85,12,1,0.2,facial
